##  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_000007925.1	PRJNA224116	SAMN02603142	na	na	167539	1219	Prochlorococcus marinus subsp. marinus str. CCMP1375	strain=CCMP1375; SS120	na	latest	Complete Genome	Major	Full	2003-07-25	ASM792v1	CNRS	GCA_000007925.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/925/GCF_000007925.1_ASM792v1	na	assembly from type material	na	haploid	bacteria	1751080	1751080	36.500000	1	1	1	NCBI RefSeq	GCF_000007925.1-RS_2025_04_10	2025-04-10	1911	1859	45	12917486
GCF_000009705.1	PRJNA224116	SAMD00061094	na	na	103690	103690	Nostoc sp. PCC 7120 = FACHB-418	strain=PCC 7120	na	latest	Complete Genome	Major	Full	2001-12-03	ASM970v1	Kazusa	GCA_000009705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/705/GCF_000009705.1_ASM970v1	na	na	na	haploid	bacteria	7211789	7211789	41.500000	7	7	7	NCBI RefSeq	GCF_000009705.1-RS_2025_02_24	2025-02-24	6169	5964	86	11759840
GCF_000009725.1	PRJNA224116	SAMD00061113	na	na	1148	1148	Synechocystis sp. PCC 6803	strain=PCC 6803	na	latest	Complete Genome	Major	Full	2001-10-23	ASM972v1	Kazusa	GCA_000009725.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/725/GCF_000009725.1_ASM972v1	na	na	na	haploid	bacteria	3947019	3947019	47.500000	5	5	5	NCBI RefSeq	GCF_000009725.1-RS_2025_06_29	2025-06-29	3749	3630	51	8590279;8905231;14686584
GCF_000010065.1	PRJNA224116	SAMD00061073	na	na	269084	32046	Synechococcus elongatus PCC 6301	strain=PCC 6301	na	latest	Complete Genome	Major	Full	2004-12-21	ASM1006v1	Nagoya University, Japan	GCA_000010065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/065/GCF_000010065.1_ASM1006v1	na	assembly from type material	na	haploid	bacteria	2696255	2696255	55.500000	1	1	1	NCBI RefSeq	GCF_000010065.1-RS_2025_03_15	2025-03-15	2737	2657	55	16407232;16882723;17040912;17211581
GCF_000010625.1	PRJNA224116	SAMD00060936	na	na	449447	1126	Microcystis aeruginosa NIES-843	strain=NIES-843	na	latest	Complete Genome	Major	Full	2008-01-31	ASM1062v1	Kazusa DNA Research Institute	GCA_000010625.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/625/GCF_000010625.1_ASM1062v1	na	assembly from type material	na	haploid	bacteria	5842795	5842795	42.500000	1	1	1	NCBI RefSeq	GCF_000010625.1-RS_2025_04_07	2025-04-07	5808	5230	52	18192279
GCF_000011345.1	PRJNA224116	SAMD00061106	na	reference genome	197221	146786	Thermosynechococcus vestitus BP-1	strain=BP-1	na	latest	Complete Genome	Major	Full	2002-08-19	ASM1134v1	Kazusa	GCA_000011345.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/345/GCF_000011345.1_ASM1134v1	na	assembly from type material	na	haploid	bacteria	2593857	2593857	54.000000	1	1	1	NCBI RefSeq	GCF_000011345.1-RS_2025_04_07	2025-04-07	2547	2449	47	12240834
GCF_000011385.1	PRJNA224116	SAMD00061120	na	reference genome	251221	33072	Gloeobacter violaceus PCC 7421	strain=PCC 7421	na	latest	Complete Genome	Major	Full	2003-10-06	ASM1138v1	Kazusa	GCA_000011385.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/385/GCF_000011385.1_ASM1138v1	na	assembly from type material	na	haploid	bacteria	4659019	4659019	62.000000	1	1	1	NCBI RefSeq	GCF_000011385.1-RS_2024_12_11	2024-12-11	4603	4488	50	14621292;14621296
GCF_000011465.1	PRJNA224116	SAMEA3138209	na	na	59919	1219	Prochlorococcus marinus subsp. pastoris str. CCMP1986	strain=MED4	na	latest	Complete Genome	Major	Full	2003-08-19	ASM1146v1	DOE Joint Genome Institute	GCA_000011465.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/465/GCF_000011465.1_ASM1146v1	na	assembly from type material	na	haploid	bacteria	1657990	1657990	31.000000	1	1	1	NCBI RefSeq	GCF_000011465.1-RS_2025_01_23	2025-01-23	1924	1877	43	12917642
GCF_000011485.1	PRJNA224116	SAMEA3138210	na	na	74547	1219	Prochlorococcus marinus str. MIT 9313	strain=MIT9313	na	latest	Complete Genome	Major	Full	2003-08-19	ASM1148v1	DOE Joint Genome Institute	GCA_000011485.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/485/GCF_000011485.1_ASM1148v1	na	na	na	haploid	bacteria	2410873	2410873	50.500000	1	1	1	NCBI RefSeq	GCF_000011485.1-RS_2025_03_11	2025-03-11	2474	2389	53	12917642
GCF_000012465.1	PRJNA224116	SAMN00623057	na	na	59920	1219	Prochlorococcus marinus str. NATL2A	strain=NATL2A	na	latest	Complete Genome	Major	Full	2007-12-18	ASM1246v1	DOE Joint Genome Institute	GCA_000012465.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/465/GCF_000012465.1_ASM1246v1	na	na	na	haploid	bacteria	1842899	1842899	35.000000	1	1	1	NCBI RefSeq	GCF_000012465.1-RS_2025_05_23	2025-05-23	2108	2058	45	18159947
